|UniqueID|ShotX|ShotY|GoalX|GoalY|Period|GameTime|LogTime|EventType|LTeamID|RTeamID|ShootingTeamID|ShootingPlayerID|SPJersey|BlockingPlayerID|Plus|Minus|Ass1Jersey|Ass2Jersey|Goaltype|GAME_ID
0|168|291.000000|398.000000|0.000000|0.000000|1|74|2022-09-15 18:32:55|0|3438|17907|17907|25904657|29|30855458||||||3468
1|169|745.000000|269.000000|0.000000|0.000000|1|206|2022-09-15 18:35:40|3|3438|17907|3438|32304350|3|28719315||||||3468
2|170|604.000000|219.000000|0.000000|0.000000|1|225|2022-09-15 18:36:39|3|3438|17907|3438|21869453|87|25904657||||||3468
3|171|247.000000|215.000000|0.000000|0.000000|1|271|2022-09-15 18:37:22|2|3438|17907|17907|40126290|72|30855458||||||3468
4|172|285.000000|140.000000|0.000000|0.000000|1|324|2022-09-15 18:38:33|3|3438|17907|17907|40126290|72|27841006||||||3468
5|173|734.000000|144.000000|0.000000|0.000000|1|418|2022-09-15 18:40:31|0|3438|17907|3438|27841006|6|30913594||||||3468
6|174|698.000000|217.000000|81.000000|82.000000|1|450|2022-09-15 18:41:30|1|3438|17907|3438|40005026|90|30913594|5 6 27 70 90|12 23 44 70 72|6|0||3468
7|175|600.000000|101.000000|0.000000|0.000000|1|497|2022-09-15 18:44:02|2|3438|17907|3438|21869453|87|30913594||||||3468
8|176|345.000000|175.000000|0.000000|0.000000|1|557|2022-09-15 18:45:02|2|3438|17907|17907|31909028|23|30855458||||||3468
9|177|792.000000|337.000000|0.000000|0.000000|1|600|2022-09-15 18:45:59|2|3438|17907|3438|21636330|70|30913594||||||3468
10|178|261.000000|385.000000|0.000000|0.000000|1|734|2022-09-15 18:49:28|3|3438|17907|17907|31909028|23|28291215||||||3468
11|179|798.000000|220.000000|0.000000|0.000000|1|758|2022-09-15 18:50:00|2|3438|17907|3438|21629088|13|30913594||||||3468
12|180|193.000000|160.000000|0.000000|0.000000|1|903|2022-09-15 18:54:05|2|3438|17907|17907|31909028|23|30855458||||||3468
13|181|221.000000|376.000000|0.000000|0.000000|1|912|2022-09-15 18:54:21|3|3438|17907|17907|40056548|70|23322338||||||3468
14|182|240.000000|369.000000|0.000000|0.000000|1|924|2022-09-15 18:54:27|0|3438|17907|17907|40056548|70|30855458||||||3468
15|183|702.000000|193.000000|0.000000|0.000000|1|933|2022-09-15 18:54:41|2|3438|17907|3438|60368590|22|30913594||||||3468
16|184|697.000000|242.000000|0.000000|0.000000|1|1019|2022-09-15 18:56:15|0|3438|17907|3438|21636330|70|30913594||||||3468
17|185|323.000000|227.000000|0.000000|0.000000|1|1029|2022-09-15 18:56:33|2|3438|17907|17907|40056527|89|30855458||||||3468
18|186|687.000000|358.000000|0.000000|0.000000|1|1078|2022-09-15 18:58:04|0|3438|17907|3438|21869453|87|30913594||||||3468
19|187|810.000000|361.000000|0.000000|0.000000|1|1100|2022-09-15 18:58:32|0|3438|17907|3438|32304350|3|30913594||||||3468
20|188|658.000000|113.000000|0.000000|0.000000|1|1107|2022-09-15 18:58:42|0|3438|17907|3438|23322338|23|30913594||||||3468
21|189|647.000000|412.000000|0.000000|0.000000|1|1162|2022-09-15 18:59:48|3|3438|17907|3438|21541797|14|30006508||||||3468
22|190|470.000000|147.000000|0.000000|0.000000|2|1265|2022-09-15 19:17:49|2|3438|17907|17907|33007944|48|30855458||||||3468
23|191|775.000000|429.000000|0.000000|0.000000|2|1320|2022-09-15 19:19:52|0|3438|17907|3438|25974755|72|30913594||||||3468
24|192|832.000000|348.000000|0.000000|0.000000|2|1354|2022-09-15 19:20:22|0|3438|17907|3438|34280964|2|30913594||||||3468
25|193|862.000000|229.000000|73.000000|108.000000|2|1355|2022-09-15 19:20:46|1|3438|17907|3438|25974755|72|30913594|2 14 16 58 72|8 17 66 86 94|2|0||3468
26|194|886.000000|302.000000|0.000000|0.000000|2|1464|2022-09-15 19:23:00|2|3438|17907|3438|40005026|90|30913594||||||3468
27|195|815.000000|238.000000|41.000000|34.000000|2|1540|2022-09-15 19:25:16|1|3438|17907|3438|21869453|87|30913594|87||0|0|RL|3468
28|196|198.000000|247.000000|140.000000|108.000000|2|1590|2022-09-15 19:26:57|1|3438|17907|17907|31909028|23|30855458|12 23 44 70 72|3 13 22 23 87|0|0||3468
29|197|777.000000|390.000000|0.000000|0.000000|2|1606|2022-09-15 19:27:56|2|3438|17907|3438|21543601|5|30913594||||||3468
30|198|743.000000|255.000000|0.000000|0.000000|2|1627|2022-09-15 19:28:18|0|3438|17907|3438|21543601|5|30913594||||||3468
31|199|791.000000|215.000000|0.000000|0.000000|2|1695|2022-09-15 19:30:35|2|3438|17907|3438|21869453|87|31931122||||||3468
32|200|323.000000|107.000000|0.000000|0.000000|2|1704|2022-09-15 19:31:19|0|3438|17907|17907|21779271|44|30855458||||||3468
33|201|704.000000|179.000000|0.000000|0.000000|2|1730|2022-09-15 19:31:53|2|3438|17907|3438|21629088|13|30913594||||||3468
34|202|365.000000|251.000000|0.000000|0.000000|2|1860|2022-09-15 19:35:35|0|3438|17907|17907|40035576|86|30855458||||||3468
35|203|739.000000|343.000000|0.000000|0.000000|2|1909|2022-09-15 19:36:56|0|3438|17907|3438|23322338|23|30913594||||||3468
36|204|704.000000|118.000000|0.000000|0.000000|2|2015|2022-09-15 19:39:00|0|3438|17907|3438|29948486|16|30913594||||||3468
37|205|130.000000|245.000000|137.000000|120.000000|2|2041|2022-09-15 19:39:51|1|3438|17907|17907|29936977|17|30855458|8 17 66 86 94|2 14 16 58 72|66|0||3468
38|206|753.000000|200.000000|0.000000|0.000000|2|2077|2022-09-15 19:41:06|2|3438|17907|3438|21629088|13|30913594||||||3468
39|207|810.000000|252.000000|65.000000|85.000000|2|2114|2022-09-15 19:41:59|1|3438|17907|3438|40005026|90|30913594|5 6 27 70 90|29 48 63 75 89|5|0||3468
40|208|315.000000|297.000000|0.000000|0.000000|2|2168|2022-09-15 19:43:24|2|3438|17907|17907|29936977|17|30855458||||||3468
41|209|340.000000|123.000000|0.000000|0.000000|2|2194|2022-09-15 19:43:54|2|3438|17907|17907|21779271|44|30855458||||||3468
42|210|173.000000|285.000000|0.000000|0.000000|2|2206|2022-09-15 19:44:14|0|3438|17907|17907|40056548|70|30855458||||||3468
43|211|879.000000|232.000000|57.000000|112.000000|2|2235|2022-09-15 19:45:11|1|3438|17907|3438|28291215|27|30913594|5 6 27 70 90|29 48 63 75 89|90|0||3468
44|212|701.000000|85.000000|0.000000|0.000000|2|2259|2022-09-15 19:46:07|2|3438|17907|3438|34280964|2|30913594||||||3468
45|213|136.000000|148.000000|30.000000|29.000000|2|2283|2022-09-15 19:46:37|1|3438|17907|17907|40056548|70|30855458|12 23 44 70 72|2 14 16 58 72|23|0||3468
46|214|290.000000|398.000000|0.000000|0.000000|2|2328|2022-09-15 19:47:56|3|3438|17907|17907|30006508|75|23322338||||||3468
47|215|631.000000|252.000000|0.000000|0.000000|2|2387|2022-09-15 19:50:44|0|3438|17907|3438|60368590|22|30913594||||||3468
48|216|601.000000|108.000000|0.000000|0.000000|3|2425|2022-09-15 20:06:47|0|3438|17907|3438|32304350|3|30913594||||||3468
49|217|764.000000|422.000000|0.000000|0.000000|3|2432|2022-09-15 20:07:00|2|3438|17907|3438|21869453|87|30913594||||||3468
50|218|679.000000|127.000000|0.000000|0.000000|3|2447|2022-09-15 20:07:25|0|3438|17907|3438|32304350|3|30913594||||||3468
51|219|810.000000|396.000000|0.000000|0.000000|3|2459|2022-09-15 20:07:38|0|3438|17907|3438|21869453|87|30913594||||||3468
52|220|302.000000|321.000000|0.000000|0.000000|3|2480|2022-09-15 20:08:09|0|3438|17907|17907|28719315|12|30855458||||||3468
53|221|799.000000|274.000000|0.000000|0.000000|3|2528|2022-09-15 20:09:17|2|3438|17907|3438|21543601|5|30913594||||||3468
54|222|672.000000|137.000000|0.000000|0.000000|3|2544|2022-09-15 20:09:33|2|3438|17907|3438|32304350|3|30913594||||||3468
55|223|769.000000|117.000000|0.000000|0.000000|3|2589|2022-09-15 20:10:22|2|3438|17907|3438|29948486|16|30913594||||||3468
56|224|834.000000|130.000000|0.000000|0.000000|3|2594|2022-09-15 20:10:27|2|3438|17907|3438|29948486|16|30913594||||||3468
57|225|755.000000|383.000000|0.000000|0.000000|3|2786|2022-09-15 20:14:16|0|3438|17907|3438|21543601|5|30913594||||||3468
58|226|234.000000|342.000000|0.000000|0.000000|3|2801|2022-09-15 20:14:31|2|3438|17907|17907|30006508|75|30855458||||||3468
59|227|261.000000|290.000000|0.000000|0.000000|3|2811|2022-09-15 20:15:21|0|3438|17907|17907|29936977|17|30855458||||||3468
60|228|249.000000|290.000000|0.000000|0.000000|3|2872|2022-09-15 20:16:32|0|3438|17907|17907|40126290|72|30855458||||||3468
61|229|380.000000|108.000000|0.000000|0.000000|3|2879|2022-09-15 20:16:42|2|3438|17907|17907|21779271|44|30855458||||||3468
62|230|895.000000|352.000000|0.000000|0.000000|3|2893|2022-09-15 20:16:54|2|3438|17907|3438|60368590|22|30913594||||||3468
63|231|694.000000|309.000000|0.000000|0.000000|3|2937|2022-09-15 20:19:28|3|3438|17907|3438|21543601|5|40056548||||||3468
64|232|512.000000|221.000000|0.000000|0.000000|3|3018|2022-09-15 20:21:29|2|3438|17907|17907|33007944|48|30855458||||||3468
65|233|323.000000|228.000000|0.000000|0.000000|3|3184|2022-09-15 20:25:14|3|3438|17907|17907|28719315|12|21629088||||||3468
66|234|865.000000|347.000000|0.000000|0.000000|3|3249|2022-09-15 20:26:18|0|3438|17907|3438|21543601|5|30913594||||||3468
67|235|915.000000|320.000000|164.000000|123.000000|3|3299|2022-09-15 20:27:17|1|3438|17907|3438|21543601|5|30913594|5 6 27 70 90|8 17 66 86 94|90|0||3468
68|236|255.000000|224.000000|0.000000|0.000000|3|3335|2022-09-15 20:28:23|2|3438|17907|17907|30006508|75|30855458||||||3468
69|237|768.000000|197.000000|0.000000|0.000000|3|3344|2022-09-15 20:28:36|2|3438|17907|3438|60368590|22|30913594||||||3468
70|238|844.000000|235.000000|0.000000|0.000000|3|3380|2022-09-15 20:29:07|2|3438|17907|3438|21543601|5|30913594||||||3468
71|239|789.000000|231.000000|70.000000|55.000000|3|3388|2022-09-15 20:29:27|1|3438|17907|3438|21543601|5|30913594|5 6 27 70 90|12 23 44 70 72|6|0||3468
72|240|855.000000|223.000000|55.000000|116.000000|3|3406|2022-09-15 20:31:36|1|3438|17907|3438|21541797|14|31931122|14||0|0|RL|3468
73|241|841.000000|417.000000|0.000000|0.000000|3|3412|2022-09-15 20:32:19|2|3438|17907|3438|21543601|5|31931122||||||3468
74|242|681.000000|459.000000|50.000000|122.000000|3|3457|2022-09-15 20:33:30|1|3438|17907|3438|21543601|5|0|5 6 27 70 90|23 29 44 70 72 75|90|0|TM|3468
75|243|362.000000|158.000000|0.000000|0.000000|3|3515|2022-09-15 20:34:45|0|3438|17907|17907|29936977|17|30855458||||||3468
76|244|807.000000|204.000000|0.000000|0.000000|3|3550|2022-09-15 20:35:36|2|3438|17907|3438|21543601|5|30913594||||||3468
77|245|302.000000|229.000000|0.000000|0.000000|3|3589|2022-09-15 20:36:20|0|3438|17907|17907|25904657|29|30855458||||||3468
78|246|200.000000|422.000000|0.000000|0.000000|3|3592|2022-09-15 20:36:25|2|3438|17907|17907|27136562|63|30855458||||||3468